park_id|park_name|address
1|A.B. Dittmar Neighborhood Park|1009 W Dittmar Rd., Austin, Texas 78748
2|A.B. Dittmar Neighborhood Park Easement*|1009 W Dittmar Rd., Austin, Texas 78748
3|Adams-Hemphill Neighborhood Park|201 W 30th St., Austin, Texas 78705
4|AISD Easement*|411 E Alpine Rd., Austin, Texas 78704
5|Alamo Pocket Park|2100 Alamo St., Austin, Texas 78722
6|Alderbrook Pocket Park|12444 Lamplight Village Ave., Austin, Texas 78758
7|Andrews School Park|2400 Lehigh Dr.2400 Lehigh Dr., Austin, Texas 78723
8|Ann and Roy Butler Hike and Bike 1300 Riverside Easement*|1300 E Riverside Dr., Austin, Texas 78741
9|Ann and Roy Butler Hike and Bike 1620 Riverside Easement*|1620 S Lakeshore Blvd., Austin, Texas 78741
10|Ann and Roy Butler Hike and Bike 1720 Riverside Easement*|1720 S Lakeshore Blvd., Austin, Texas 78741
11|Ann and Roy Butler Hike and Bike 222 Riverside Easement*|222 E Riverside Dr., Austin, Texas 78704
12|Ann and Roy Butler Hike and Bike 300 Riverside Easement*|300 E Riverside Dr., Austin, Texas 78704
13|Archstone Pocket Park|4308 Staggerbrush Rd., Austin, Texas 78749
14|Archstone Greenbelt Easement 1*|4301 Staggerbrush Rd., Austin, Texas 78749
15|Archstone Greenbelt Easement 2*|4301 Staggerbrush Rd., Austin, Texas 78749
16|Armadillo Neighborhood Park|910 Armadillo Rd., Austin, Texas 78745
17|Asian American Resource Center*|8401 Cameron Rd., Austin, Texas 78754
18|Astor Place Greenbelt|1716 Astor Pl., Austin, Texas 78721
19|Auditorium Shores at Town Lake Metropolitan Park|800 W Riverside Dr., Austin, Texas 78704
20|Auditorium Shores at Town Lake Easement*|208 Barton Springs Rd., Austin, Texas 78704
21|Austin High Tennis Center|1717 W Cesar Chavez St., Austin, Texas 78703
22|Austin Memorial Park Cemetery|3000 Hancock Dr., Austin, Texas 78731
23|Austin Recreation Center|1301 Shoal Creek Blvd., Austin, Texas 78701
24|Austin's Colony Neighborhood Park|14501 Lippincott St. Austin, Texas 78725
25|Bailey Neighborhood Park|1101 W 33rd St., Austin, Texas 78705
26|Balcones District Park|12017 Amherst Dr., Austin, Texas 78759
27|Barrington School Park|9306 Glenn Ln., Austin, Texas 78753
28|Barrow Nature Preserve|7515 Step Down Cv., Austin, Texas 78731
29|Bartholomew District Park|5201 Berkman Dr., Austin, Texas 78723
30|Barton Creek Greenbelt|3753 S Capital of Texas Hwy., Austin, Texas 78746
31|Barton Creek Greenbelt Easement*|4966 W US 290 Hwy WB, Sunset Valley, Texas, 78735
32|Barton Creek Wilderness Park|3918 S Mopac Expy Svrd SB, Austin, Texas 78746
33|Barton Hills School Park|2009 Homedale Dr., Austin, Texas 78704
34|Battlebend Springs Neighborhood Park|121 Sheraton Ave., Austin, Texas 78745
35|Bauerle Ranch at Slaughter Creek Greenbelt|2715 Lynnbrook Dr., Austin, Texas 78748
36|Bellingham Meadows Greenbelt|7601 E Parmer Ln., Austin, Texas 78653
37|Beverly S. Sheffield Northwest District Park|7000 Ardath St., Austin, Texas 78757
38|Big Stacy Neighborhood Park|700 E Live Oak St., Austin, Texas 78704
