trail_id|score_id|score|score_date|score_link
1|1|5|11/28/2018|https://www.google.com/search?ei=fCMHXKy4HsLStAWqtZ-oAg&q=ann%20and%20roy%20butler%20hike%20and%20bike%20trail%20reviews&oq=ann+and+roy+butler+hike+and+bike+trail+re&gs_l=psy-ab.3.0.33i299l3j33i160l2.142565.148415..149805...0.0..0.236.1888.5j9j1......0....1..gws-wiz.......0j38j35i39j0i131j0i67j0i10j0i22i30.04K1xO1NBwU&npsic=0&rflfq=1&rlha=0&rllag=30272724,-97748250,3680&tbm=lcl&rldimm=8297278172780320870&lqi=Ci5hbm4gYW5kIHJveSBidXRsZXIgaGlrZSBhbmQgYmlrZSB0cmFpbCByZXZpZXdzIgI4AVoJCgdyZXZpZXdz&ved=2ahUKEwiTmc60v4ffAhUNjq0KHcPgAfUQvS4wAXoECAIQJg&rldoc=1&tbs=lrf:!2m4!1e17!4m2!17m1!1e2!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:1#rlfi=hd:;si:8297278172780320870,l,Ci5hbm4gYW5kIHJveSBidXRsZXIgaGlrZSBhbmQgYmlrZSB0cmFpbCByZXZpZXdzIgI4AVoJCgdyZXZpZXdz;mv:!1m2!1d30.374648699999998!2d-97.7238907!2m2!1d30.238135999999997!2d-97.77261;tbs:lrf:!2m1!1e2!2m1!1e3!2m4!1e17!4m2!17m1!1e2!3sIAE,lf:1,lf_ui:1
2|2|1|2/4/2018|https://www.google.com/search?tbm=lcl&ei=HyQHXJq3KMjEsAWum4bgCw&q=archstone+greenbelt+trail+reviews&oq=archstone+greenbelt+trail+re&gs_l=psy-ab.3.0.33i160k1l2.497598.590932.0.592196.39.33.4.2.2.0.202.3035.18j11j1.31.0....0...1c.1.64.psy-ab..2.37.3260.6..0j38j35i39k1j0i67k1j0i131k1j0i131i67k1j0i20i263k1j0i10i67k1j0i10k1j0i22i30k1j0i22i10i30k1j33i299k1.207.-0rpdEFcFQ0#rlfi=hd:;si:9171437417153066166;mv:!1m2!1d30.232396477319032!2d-97.83505719094688!2m2!1d30.23203652268097!2d-97.83547380905313
3|3|3|7/4/2017|https://www.alltrails.com/trail/us/texas/walnut-creek-trail-in-balcones-community-park
4|4|3|11/19/2018|https://www.google.com/maps/place/Barrington+School+Park/@30.3619241,-97.6982159,17z/data=!3m1!4b1!4m10!1m2!2m1!1sbarringtone+school+park+track+!3m6!1s0x8644c962f89eebf9:0xc78a3c13b9028eb3!8m2!3d30.3619195!4d-97.6960218!9m1!1b1
5|5|5|9/4/2018|https://www.alltrails.com/trail/us/texas/barton-creek-greenbelt
6|6|4|4/4/2018|https://www.google.com/search?q=barton%20hills%20high%20school%20park%20track&oq=bartonhills+high+school+park+track+&aqs=chrome..69i57.28327j1j4&sourceid=chrome&ie=UTF-8&npsic=0&rflfq=1&rlha=0&rllag=30264940,-97776443,1212&tbm=lcl&rldimm=14625494073247981323&ved=2ahUKEwi4w9DzxoffAhVGS6wKHfNyCqEQvS4wAHoECAAQIQ&rldoc=1&tbs=lrf:!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:2#rlfi=hd:;si:14625494073247981323;mv:!1m2!1d30.2744764!2d-97.7659856!2m2!1d30.2530193!2d-97.8103908;tbs:lrf:!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:2
7|7|4|11/12/2018|https://www.google.com/search?tbm=lcl&ei=-SsHXMPWN9DGsQXyw6-AAQ&q=bauerle+ranch+park+trail+&oq=bauerle+ranch+park+trail+&gs_l=psy-ab.3..0i22i30k1.96592.112043.0.112191.26.21.0.5.5.0.137.1741.6j11.18.0....0...1c.1.64.psy-ab..3.23.2140.6..0j38j35i39k1j0i67k1j0i131k1j0i20i263k1j0i131i67k1.379.pYGNnJUj9h0#rlfi=hd:;si:3077244822554048548;mv:!1m2!1d30.173469599999994!2d-97.83535429999999!2m2!1d30.158768499999997!2d-97.8503462
8|8|4|6/30/2016|https://www.yelp.com/biz/northwest-district-park-austin
9|9|3|9/22/2015|https://www.yelp.com/biz/blunn-creek-greenbelt-austin
10|10|5|2/4/2018|https://www.google.com/search?q=blunn+creek+nature+preserve&oq=blunn+creek+nature+&aqs=chrome.0.0l2j69i57j0l3.8751j0j4&sourceid=chrome&ie=UTF-8#lrd=0x8644b45657505355:0x96e478bb6318d398,1,,,
