tot_id|trail_id|terrain_id
1|1|6
2|2|6
3|3|12
4|4|4
5|5|9
6|6|4
7|7|7
8|8|12
9|9|12
10|10|7
11|11|6
12|12|2
13|13|2
14|14|1
15|15|12
16|16|1
17|17|4
18|18|4
19|19|12
20|20|4
21|21|6
22|22|2
23|23|18
24|24|2
25|25|4
26|26|2
27|27|12
28|28|4
29|29|4
30|30|8
31|31|1
32|32|4
33|33|1
34|34|4
35|35|6
36|36|6
37|37|12
38|38|12
39|39|12
40|40|12
41|41|6
42|42|2
43|43|7
44|44|6
45|45|8
46|46|6
47|47|6
48|48|18
49|49|16
50|50|4
51|51|8
52|52|4
53|53|4
54|54|6
55|55|1
56|56|4
57|57|1
58|58|1
59|59|18
60|60|6
61|61|12
62|62|4
63|63|18
64|64|7
65|65|12
66|66|8
67|67|7
68|68|12
69|69|7
70|70|6
71|71|4
72|72|18
73|73|10
74|74|4
75|75|1
76|76|1
77|77|4
78|78|6
79|79|4
80|80|7
81|81|4
82|82|4
83|83|6
84|84|4
85|85|4
86|86|4
87|87|4
88|88|4
89|89|6
90|90|4
91|91|4
92|92|17
93|93|12
94|94|4
95|95|6
96|96|16
97|97|2
98|98|11
99|99|2
100|100|6
101|101|7
102|102|4
103|103|2
104|104|1
105|105|4
106|106|6
107|107|1
108|108|2
109|109|1
110|110|1
111|111|13
112|112|2
113|113|7
114|114|7
115|115|2
116|116|6
117|117|1
118|118|15
119|119|4
120|120|4
121|121|4
122|122|2
123|123|12
124|124|14
