trailuse_id|trail_id|use_id
1|1|1
2|2|1
3|3|1
4|4|2
5|5|1
6|6|2
7|7|1
8|8|1
9|9|1
10|10|2
11|11|1
12|12|1
13|13|1
14|14|1
15|15|1
16|16|1
17|17|1
18|18|1
19|19|1
20|20|2
21|21|1
22|22|2
23|23|1
24|24|2
25|25|2
26|26|1
27|27|1
28|28|2
29|29|1
30|30|1
31|31|1
32|32|1
33|33|1
34|34|2
35|35|1
36|36|1
37|37|1
38|38|1
39|39|1
40|40|1
41|41|1
42|42|3
43|43|2
44|44|1
45|45|2
46|46|1
47|47|4
48|48|4
49|49|4
50|50|5
51|51|4
52|52|5
53|53|5
54|54|4
55|55|4
56|56|5
57|57|5
58|58|4
59|59|4
60|60|4
61|61|4
62|62|5
63|63|4
64|64|4
65|65|4
66|66|4
67|67|4
68|68|4
69|69|2
70|70|4
71|71|4
72|72|2
73|73|4
74|74|4
75|75|4
76|76|4
77|77|5
78|78|4
79|79|5
80|80|4
81|81|5
82|82|4
83|83|4
84|84|4
85|85|4
86|86|5
87|87|5
88|88|5
89|89|4
90|90|4
91|91|5
92|92|4
93|93|4
94|94|5
95|95|4
96|96|4
97|97|4
98|98|4
99|99|4
100|100|2
101|101|4
102|102|5
103|103|2
104|104|2
105|105|5
106|106|4
107|107|4
108|108|4
109|109|4
110|110|4
111|111|4
112|112|4
113|113|4
114|114|4
115|115|4
116|116|4
117|117|4
118|118|2
119|119|5
120|120|5
121|121|2
122|122|4
123|123|2
124|124|4
