trail_id|gps_lat|gps_long
1|30.2591399|-97.7437033
2|30.2322165|-97.8352655
3|30.4131615|-97.7170071
4|30.3619195|-97.6960218
5|30.2547235|-97.7928235
6|30.2565544|-97.7832309
7|30.1619743|-97.840333
8|30.3488089|-97.7411533
9|30.2436524|-97.7452811
10|30.2339042|-97.7459904
11|30.271471|-97.7122502
12|30.3414035|-97.7311464
13|30.3679256|-97.7842781
14|30.2618836|-97.75432
15|30.2653872|-97.760253
16|30.3324603|-97.6950389
17|30.2898625|-97.7152979
18|30.3697747|-97.7011193
19|30.1981599|-97.8796316
20|35.7528529|-95.3274454
21|30.3013197|-97.6337806
22|30.246767|-97.695284
23|30.3363051|-97.891369
24|30.226747|-97.8726702
25|40.3584027|-80.0994997
26|30.3877157|-97.6541548
27|30.2429554|-97.7132457
28|37.3358835|-121.8015692
29|30.3034447|-97.6534557
30|30.2167398|-97.8551178
31|30.212463|-97.8631888
32|30.1844805|-97.8023922
33|30.1838606|-97.8021986
34|30.4177907|-97.9335284
35|30.3135297|-97.6733514
36|30.1860402|-97.7376605
37|30.1860249|-97.7376303
38|30.2626029|-97.6843184
39|30.2907932|-97.7317162
40|30.2497449|-97.7253972
41|30.2758505|-97.7727067
42|30.3488446|-97.8289889
43|30.3399284|-97.838163
44|30.1989248|-97.7402577
45|30.2415671|-97.8338951
46|30.212007|-97.800518
47|30.2406795|-97.7594275
48|30.4031317|-97.695575
49|30.4117498|-97.7584773
50|30.3438068|-97.7485049
51|30.351925|-97.6817292
52|30.3756714|-97.7481061
53|29.8082818|-95.1764858
54|30.4131129|-97.737697
55|30.2759084|-97.7674283
56|30.2286572|-97.7919781
57|30.2700737|-97.7229372
58|30.2700737|-97.7229372
59|30.1796261|-97.7630906
60|30.2676623|-97.7584114
61|30.2148115|-97.8673202
62|30.2521787|-97.775335
63|30.2030337|-97.825632
64|30.3774015|-97.7758436
65|30.2209508|-97.7404295
66|30.1600692|-97.8075347
67|30.1687811|-97.8053471
68|30.1579317|-97.8114033
69|30.3129736|-97.77162
70|30.2521035|-97.7187597
71|30.2320892|-97.7002244
72|30.3216371|-97.7732331
73|30.2524734|-97.7547021
74|30.3797986|-97.6713551
75|30.3942832|-97.6987342
76|30.4263342|-97.8009083
77|30.2715539|-97.7038258
78|30.417601|-97.7691523
79|30.2062651|-97.7884979
80|30.1714077|-97.7482368
81|30.2694285|-97.6831252
82|30.2616879|-97.7115189
83|30.2958489|-97.7102716
84|30.3578581|-97.7008132
85|30.2457358|-97.7223539
86|30.3030959|-97.6761765
87|30.3320453|-97.7620042
88|30.3686248|-97.7340318
89|30.3686852|-97.7012337
90|30.2908201|-97.7868387
91|30.3272136|-97.7197757
92|30.4292709|-97.7394462
93|30.2465549|-97.7061447
94|30.2580377|-97.7351679
95|30.4163013|-97.68059
96|30.2921776|-97.7506211
97|30.4303354|-97.7896833
98|30.2772801|-97.683241
99|30.2778326|-97.6836981
100|30.4506784|-97.7805786
101|30.4052847|-97.7930083
102|30.2226438|-97.773421
103|30.2063401|-97.8252559
104|30.3703951|-97.7630794
105|30.3449055|-97.7092641
106|30.4324642|-97.7810876
107|30.3129157|-97.733412
108|30.4059759|-97.7908336
109|30.188072|-97.871251
110|30.2572238|-97.7402759
111|30.2680455|-97.7360301
112|30.3880541|-97.6774022
113|30.3998384|-97.6865422
114|30.3998384|-97.6865422
115|30.2802893|-97.6042238
116|30.2737782|-97.7362085
117|30.2880453|-97.7642561
118|30.2577079|-97.7584991
119|30.1814572|-97.7925276
120|30.3645378|-97.7087669
121|30.3539664|-97.7209383
122|30.4288663|-97.7326056
123|30.272013|-97.7766312
124|30.26717|-97.7714203
