trail_id|name|address|city|zip|ada|length|difficulty_id
1|Ann and Roy Butler Hike and Bike Trail|800 W. Riverside Drive|Austin|78704|Yes|10.17|1
2|Archstone Greenbelt Trail|4307 Staggerbush|Austin|78749|No|0.48|2
3|Balcones District Park Trail|12017 Amherst Drive|Austin|78759|No|1.3|3
4|Barrington School Park Track|9306 Glenn Ln.|Austin|78753|No|0.22|2
5|Barton Creek Greenbelt Trail|3753 S. Capital of Texas Hwy|Austin|78704|No|12.68|1
6|Barton Hills School Park Track|2009 Homedale Dr.|Austin|78704|No|0.24|2
7|Bauerle Ranch Park Trail|2700 Lynnbrook Dr.|Austin|78748|No|5.17|2
8|Beverly S. Sheffield Northwest District Park Trail|6708 North Park Dr.|Austin|78757|No|0.52|2
9|Blunn Creek Greenbelt Trail|1501 East Side Dr.|Austin|78704|Yes|0.88|2
10|Blunn Creek Nature Preserve Trail|1200 St. Edwards Dr.|Austin|78704|No|1.02|3
11|Boggy Creek Greenbelt Trail|811 Nile St.|Austin|78702|Yes|1.17|2
12|Brentwood Neighborhood Park Trail|6807 Yates Ave. |Austin|78757|No|0.17|2
13|Bull Creek District Trail|6713 Lakewood Dr.|Austin|78731|No|0.9|3
14|Butler Metro Park Trail|1000 Barton Springs Rd.|Austin|78704|Yes|2.1|2
15|Butler Shores at Town Lake Metro Park Trail|200 S. Lamar Blvd. |Austin|78704|Yes|0.42|2
16|Buttermilk Branch Greenbelt Trail|7402 Blessing Ave.|Austin|78752|No|0.6|2
17|Cherrywood Pocket Park Trail|1600 E. 34th St.|Austin|78722|No|0.05|2
18|Chris Mosqueda Trail|1041 Mearns Meadow Blvd.|Austin|78758|No|0.39|2
19|Circle C Ranch Metro Park Trail|6301 W. Slaughter Ln.|Austin|78739|Yes|2.93|2
20|Civitan Neighborhood Park Trail|513 Vargas Rd.|Austin|78741|No|0.24|2
21|Colony District Park Trail|7201 Colony Loop Dr.|Austin|78724|No|0.26|1
22|Colorado River Wildlife Sanctuary|5827 Levander Loop|Austin|78702|No|0.35|2
